DATUM;Situation;Beschreibung;Sozialform;Beobachtung ID;Skala;Kategorie;TM;X
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;VERBINDEND;5;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;VORWISSEN;1;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;WIRKLICHKEIT;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;ZIEL;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;P;V.2.2;5;ÜBEN;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;DIFFERENZIERUNG_1;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;DIFFERENZIERUNG_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;DRAUßEN;4;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;ERFAHRUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;GANZHEITLICH;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;HANDLUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KLIMA_1;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KLIMA_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KLIMA_3;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KLIMA_4;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KLIMA_5;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KOMMUNIKATION_1;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KOMMUNIKATION_2;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KOMMUNIKATION_3;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KOMPETENZ_1;3;3
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KOMPETENZ_2;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;KOOPERATIV;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;LEISTUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;LERNERO.;5;5
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;LERNORT_1;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;LERNORT_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;LERNORT_3;4;4
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;LERNZEIT_1;2;3
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;LERNZEIT_2;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;METHODEN;1;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;MOTIVIERUNG;1;1
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;PARTIZIPATION;2;2
17.11.23;Video;Video 3 (4. Klasse) - Nichts;GA;V.3.1;5;PROZESS;1;1
